species;order;CMR;n_dead_ind;known_deaths;n_neoplasia;n_no_neoplasia;body_mass_kg;metabolic_rate;life_expectancy_d;gestation_length_d;litter_size_n;total_litters;litters;breeding_system;paternal_care;group_living;animal
Tragelaphus_imberbis;Artiodactyla;0,0526;282;38;2;36;72,7;NA;2455,95;235;1;23,54611945;Monotocous;PluralBreeder;No;yes;0
Tragelaphus_oryx;Artiodactyla;0,0147;1014;136;2;134;373,02;NA;3094,01;271;1;27,65362027;Monotocous;NA;NA;yes;0
Tragelaphus_strepsiceros;Artiodactyla;0,0336;700;119;4;115;193,46;NA;2528,44;225,536;1;21,96569315;Monotocous;PluralBreeder;No;yes;0
Tragulus_javanicus;Artiodactyla;0;277;47;0;47;1,71;4,883;2498,25;144;1;25,39628541;Monotocous;NA;No;no;0
Tupaia_belangeri;Scandentia;0,125;331;24;3;21;0,19;NA;1754,06;46;2;181,2253973;Polytocous;SingularBreeder;No;no;1
Ursus_arctos;Carnivora;0,1;389;40;4;36;265,55;NA;6957,18;103;2,27;42,11509233;Polytocous;SingularBreeder;No;no;1
Ursus_maritimus;Carnivora;0,0455;217;22;1;21;344,76;NA;7678,25;147,416;1,66;26,72554521;Polytocous;SingularBreeder;No;no;1
Varecia_rubra;Primates;0,1852;719;54;10;44;3,75;NA;6441,78;100,328;2,2;75,66889151;Polytocous;PluralBreeder;No;yes;0
Varecia_variegata;Primates;0,0659;972;91;6;85;3,81;NA;5743,57;100,328;2,2;75,48555616;Polytocous;PluralBreeder;No;yes;0
Vulpes_zerda;Carnivora;0,1429;454;42;6;36;1,36;2,693;3451,83;51;2,36;36,56668055;Polytocous;SingularBreeder;No;NA;1
