species,dom_fr,max_fr,min_fr,min_fr_TM
myna,3186.914,7149.023,2842.383,2642.912
myna,5254.102,7579.688,4220.508,3587.864
myna,3014.648,7321.289,2842.383,2657.677
myna,4392.773,6804.492,2842.383,3543.569
myna,5512.5,5770.898,4392.773,4222.753
myna,4478.906,5684.766,2670.117,2583.853
myna,2842.383,7407.422,2756.25,2539.558
myna,5598.633,6632.227,4306.641,4237.518
myna,3100.781,6976.758,2670.117,2259.025
myna,2756.25,7062.891,2325.586,1786.549
myna,3100.781,7407.422,3100.781,2879.15
myna,3100.781,6718.359,2928.516,2628.147
myna,5167.969,7149.023,2928.516,2613.382
pink,258.398,11326.465,258.398,93.671
pink,301.465,11240.332,258.398,96.693
pink,258.398,11283.398,258.398,90.649
pink,301.465,11326.465,258.398,93.671
pink,258.398,11240.332,258.398,93.671
pink,301.465,11326.465,258.398,99.714
pink,258.398,11283.398,258.398,93.671
BTF,3187.5,4687.5,1466.835,2625
BTF,3375,4500,1664.168,2812.5
BTF,3187.5,4312.5,2683.717,2812.5
BTF,3375,4687.5,2795.538,3000
BTF,3187.5,4687.5,2710.028,2812.5
BTF,3187.5,4312.5,2729.761,2812.5
BTF,3187.5,4500,2775.805,2812.5
BTF,3187.5,4500,2742.917,2812.5
BTF,3187.5,4312.5,2736.339,2812.5
BTF,3000,4875,1473.413,2812.5
BTF,3187.5,4500,2670.561,2812.5
BTF,3187.5,4875,2762.65,3000
BTF,3375,4500,2769.227,2812.5
BTF,3187.5,4500,2749.494,2812.5
BTF,3187.5,4500,2710.028,2812.5
BTF,3187.5,4687.5,2762.65,2812.5
BTF,3187.5,6187.5,2650.828,2812.5
BTF,3187.5,4500,2723.183,2812.5
BTF,3187.5,4875,2742.917,2812.5
BTF,3187.5,4875,2723.183,2812.5
BTF,3187.5,4500,2795.538,3000
BTF,3187.5,3750,2775.805,3000
BTF,3187.5,4125,2808.694,3000
BTF,3187.5,3750,2762.65,3000
BTF,3375,3750,2867.894,3000
BTF,3375,3562.5,2848.16,3000
BTF,3187.5,4125,2742.917,2812.5
BTF,3187.5,3562.5,2828.427,3000
BTF,3000,5437.5,934.039,1312.5
BTF,3000,5250,638.041,1125
BTF,2812.5,5062.5,953.772,1125
BTF,2812.5,5437.5,565.685,937.5
BTF,1500,5625,920.883,1312.5
BTF,3375,4875,1249.77,2437.5
BTF,5812.5,5812.5,743.284,1312.5
BTF,3375,5625,1151.104,1500
BTF,3937.5,5250,1355.014,1687.5
BTF,3562.5,5812.5,960.35,1312.5
BTF,3375,5250,2808.694,1500
BTF,3375,3750,2999.448,3000
BTF,3375,4312.5,2716.606,2812.5
BTF,3750,3937.5,1585.235,1125
BTF,3375,5250,1295.814,1875
BTF,3000,5625,1190.57,1500
BTF,3562.5,5437.5,927.461,1687.5
BTF,3562.5,5437.5,822.217,1312.5
BTF,3000,5437.5,986.661,1312.5
BTF,3750,3937.5,3190.203,3375
